EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,EpLenMean,TimeElapsed,TimestepsSoFar,meankl,optimgain,EpRewMean,entloss,entropy
9,-5.5553603,0.24826816,2737,31.6,560.1076018810272,92494,0.009990182,0.24826816,8.610721720027711e-05,0.0,38.849884
9,-6.820543,0.37522727,2746,30.725,561.6338126659393,92753,0.013066839,0.37522727,7.951855114364226e-05,0.0,38.813522
7,-4.8765864,0.36656487,2753,31.875,563.1049659252167,93010,0.0137836225,0.36656487,7.332369975469186e-05,0.0,38.83227
9,-22.024902,0.23796631,2762,31.725,564.5964217185974,93263,0.00383703,0.23796631,7.66950402091171e-05,0.0,38.815228
9,-0.11552954,0.37459266,2771,29.4,565.9994378089905,93503,0.012303927,0.37459266,8.539655775265474e-05,0.0,38.815853
9,-8.4908495,0.46878582,2780,29.475,567.4424333572388,93768,0.013354072,0.46878582,7.215471286055252e-05,0.0,38.817234
8,-4.4779525,0.6145239,2788,29.1,568.8474297523499,94018,0.0138421375,0.6145239,7.275195000249566e-05,0.0,38.800873
8,-7.914419,0.3466937,2796,29.475,570.3703091144562,94267,0.013181863,0.3466937,8.754265023853107e-05,0.0,38.809383
9,-7.31944,0.38508862,2805,29.35,571.9984266757965,94521,0.011730196,0.38508862,8.3471434835416e-05,0.0,38.81631
9,-6.8072934,0.22846036,2814,29.1,573.547577381134,94756,0.0044540376,0.22846036,7.440800126369397e-05,0.0,38.840916
6,-4.216266,0.84582186,2820,29.875,575.2574563026428,94963,0.0074659353,0.84582186,8.90814140267635e-05,0.0,38.840973
9,-4.5477314,0.23797883,2829,28.525,576.7142601013184,95202,0.0038251556,0.23797883,8.662027585805086e-05,0.0,38.84572
8,-8.106812,0.4277166,2837,29.15,578.1344017982483,95465,0.012901347,0.4277166,6.609219248701543e-05,0.0,38.850693
7,-12.025078,0.58419025,2844,31.125,579.5596146583557,95725,0.013743382,0.58419025,7.002552299504344e-05,0.0,38.844296
7,-8.483973,0.30617592,2851,31.975,581.0252947807312,95972,0.009962809,0.30617592,6.94625229922047e-05,0.0,38.833775
7,-4.4610453,0.3062473,2858,32.625,582.5327024459839,96198,0.011038123,0.3062473,7.148769151616662e-05,0.0,38.834045
7,-3.503859,0.34484267,2865,34.225,583.9817380905151,96480,0.013080183,0.34484267,6.902625867578206e-05,0.0,38.83758
9,-5.5415335,0.41315845,2874,35.175,585.4839589595795,96750,0.011991777,0.41315845,7.650861828521736e-05,0.0,38.828175
8,-5.2555437,0.49877906,2882,34.45,586.9839720726013,97031,0.012121205,0.49877906,8.095321488679065e-05,0.0,38.8523
9,-16.18565,0.37276196,2891,32.975,588.7019906044006,97291,0.011471142,0.37276196,8.397938024604643e-05,0.0,38.842716
8,-1.558245,0.3155635,2899,31.9,590.2304923534393,97532,0.010834282,0.3155635,7.681526592048479e-05,0.0,38.832256
9,-5.0219817,0.30163455,2908,30.35,591.6340532302856,97791,0.012473864,0.30163455,8.493806019886872e-05,0.0,38.833065
10,-11.633093,0.2938345,2918,29.725,593.0567870140076,98064,0.013414986,0.2938345,6.709445312396879e-05,0.0,38.818928
