# {"t_start": 1763765866.546608, "env_id": null} 
r,l,t
2.9e-05,41,53.316183
0.0,24,53.358916
2.8e-05,36,53.423032
0.000267,25,53.47085
5e-06,51,53.551909
0.000262,27,53.597004
1e-06,41,53.746333
4e-06,48,53.8324
5e-06,28,53.882121
0.000138,38,53.950683
2.6e-05,35,54.012421
2e-06,43,54.096611
0.000152,26,54.144178
8.1e-05,36,54.323805
1e-06,27,54.37545
1e-06,33,54.430251
0.0,27,54.47589
0.000568,31,54.53122
0.000123,31,54.588667
0.000172,43,54.651238
2.1e-05,24,54.692594
4.4e-05,42,54.842444
1.7e-05,32,54.897585
0.000105,37,54.951803
1e-06,29,54.997274
0.000282,45,55.063386
7e-05,43,55.124691
3e-06,49,55.195505
0.000418,34,55.316252
0.000172,38,55.373742
0.000207,34,55.427471
2.6e-05,32,55.480641
0.000188,35,55.540239
0.000253,28,55.581697
0.0,26,55.621279
0.0,36,55.756244
7.6e-05,32,55.804235
0.000235,35,55.856712
0.0,34,55.906072
2.1e-05,52,55.983514
6.3e-05,47,56.059401
1e-06,36,56.114094
3e-06,52,56.256696
0.00041,34,56.306887
0.000151,33,56.357966
0.000196,23,56.390521
7e-05,34,56.438995
4.6e-05,34,56.491827
0.000262,29,56.536409
0.000314,38,56.662733
6e-06,33,56.709328
0.000477,30,56.762872
0.000307,31,56.819992
1.2e-05,55,56.920567
0.00017,52,57.013692
0.000345,33,57.062469
0.000456,30,57.180153
6.9e-05,42,57.241597
1e-06,31,57.288554
4e-06,23,57.325024
0.000272,49,57.398026
0.0,24,57.43294
2e-06,29,57.476093
9.5e-05,42,57.543652
1e-05,26,57.650645
2e-06,60,57.742765
3.6e-05,25,57.783638
6e-05,24,57.824616
6e-05,32,57.879779
0.000287,29,57.929693
0.0,25,57.973162
5.6e-05,35,58.034734
0.0,36,58.171194
7.3e-05,47,58.251737
0.0,39,58.319825
3.4e-05,26,58.365048
0.000185,25,58.407705
2e-06,33,58.462811
0.000108,39,58.527419
2.8e-05,36,58.653046
0.00024,23,58.688717
0.000134,29,58.739154
1e-06,27,58.780757
0.0001,55,58.863039
1e-06,26,58.902528
2e-06,37,58.957621
1.6e-05,45,59.100567
0.000104,34,59.153021
8.9e-05,30,59.19654
7e-06,36,59.248348
9.8e-05,33,59.300123
4.4e-05,32,59.350133
0.00028,26,59.387091
3.8e-05,27,59.426455
0.000324,50,59.60439
0.000318,39,59.675549
0.00017,27,59.725251
2.6e-05,54,59.817747
1.2e-05,34,59.879694
0.000117,28,59.929138
6e-05,30,59.985145
0.000176,28,60.105668
1.6e-05,40,60.166019
0.0,41,60.227353
1e-06,34,60.277787
1e-06,28,60.320418
2.6e-05,40,60.381765
1e-06,47,60.450673
2.3e-05,27,60.57568
7.5e-05,28,60.622633
0.000212,43,60.692228
6.8e-05,30,60.74482
5.3e-05,39,60.814605
7.9e-05,27,60.862654
0.000398,34,60.922551
3.8e-05,46,61.004164
9.2e-05,34,61.1335
2e-06,32,61.180646
4.4e-05,23,61.216992
8.5e-05,53,61.296571
2.3e-05,27,61.336961
1e-06,53,61.420802
1e-06,33,61.477706
5.4e-05,29,61.6005
1.5e-05,44,61.668605
3e-06,36,61.724313
0.000569,34,61.776622
0.000212,31,61.821884
3e-06,31,61.866901
1e-06,24,61.906792
3.2e-05,37,62.031873
1e-06,33,62.081735
2.3e-05,43,62.146821
1e-06,25,62.18439
0.000174,28,62.224371
0.000154,83,62.348276
9e-06,38,62.404087
0.0,26,62.518468
0.000155,29,62.566909
0.0,56,62.66727
1e-06,29,62.727715
0.000234,51,62.805632
5.1e-05,22,62.848774
0.0,26,62.900185
1e-06,35,63.044251
1.7e-05,31,63.09079
1.9e-05,29,63.141593
3e-06,28,63.187064
1.2e-05,33,63.234549
3e-06,35,63.284971
0.000326,31,63.338562
0.0,37,63.403251
1e-06,24,63.524569
5.1e-05,32,63.580902
0.000235,35,63.643131
1e-06,36,63.70627
1.2e-05,31,63.759571
8.2e-05,41,63.832801
0.000306,28,63.882629
2e-06,35,63.941216
